         28972 function calls (28869 primitive calls) in 0.101 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     13/8    0.000    0.000    0.001    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/_pslinux.py:1628(wrapper)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1187(get_data)
      7/3    0.000    0.000    0.001    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/_parser.py:512(_parse)
     1662    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
        7    0.000    0.000    0.001    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/_pslinux.py:1885(create_time)
        1    0.000    0.000    0.001    0.001 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/__init__.py:174(search)
        1    0.000    0.000    0.001    0.001 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/fnmatch.py:38(_compile_pattern)
        2    0.000    0.000    0.001    0.000 <frozen genericpath>:16(exists)
        2    0.000    0.000    0.001    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/config/configuration.py:340(__get__)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/__init__.py:226(compile)
        2    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/config/configuration.py:449(__call__)
     1448    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/glob.py:108(<genexpr>)
     1447    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        2    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/config/configuration.py:345(set)
       10    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 /fs/scratch/PCON0003/klaliotis/pyimcom/src/pyimcom/config.py:396(_from_dict)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        5    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/__init__.py:312(__init__)
        2    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/__init__.py:774(create_time)
        5    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/__init__.py:315(_init)
     1450    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/_pslinux.py:1546(boot_time)
        3    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/_compiler.py:578(_code)
        2    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/extern/configobj/configobj.py:567(__setitem__)
     35/8    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
     35/8    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       46    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/_parser.py:261(get)
     2851    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/__init__.py:164(match)
        5    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/__init__.py:362(_get_ident)
